Tweet_ID,Created_at,screen_name,Texto,Fecha_Extracci�n,Hora_Extracci�n,atropellado,volcadura,fallecimiento,ciclista,motociclista,peaton,Choque,alcaldia,Aceptado
1547085260885819392,2022-07-13 00:07:24-05:00,OVIALCDMX,00 05  precaucionvial por percance vehicular en cerro de jesus antes de canal de miramontes  no distraiga su atencion al volante  ,7/13/2022,0:59:03,0,0,0,0,0,0,1,,Si
1547089293646172160,2022-07-13 00:23:25-05:00,Bomberos_CDMX,en seguimiento al servicio registrado en  alamagdalenac  informamos que se impacto una motocicleta contra una tuberia de gas natural  procedimos a controlar la fuga y nos encontramos en espera de  naturgymx para las reparaciones correspondientes continuamos laborando  ,7/13/2022,0:59:03,0,0,0,0,1,0,1,magdalena contreras,No
1547099532416131073,2022-07-13 01:04:06-05:00,C5_CDMX,servicios de emergencia trabajan por percance vial sobre eje 8 sur  calzada ermita iztapalapa  y reforma economica  primera de ford   colonia santa maria aztahuacan   alc iztapalapa  911cdmx  c5,7/13/2022,1:59:02,0,0,0,0,0,0,1,iztapalapa,Si
1547102520501313536,2022-07-13 01:15:59-05:00,OVIALCDMX,01 15  precaucionvial   servicios de emergencia laboran sobre eje 8 sur y reforma economica  col  santa maria aztahuacan  alcaldia iztapalapa por percance vehicular  ,7/13/2022,1:59:02,0,0,0,0,0,0,1,iztapalapa,No
1547118328103243778,2022-07-13 02:18:48-05:00,CruzRoja_CDMX,vehiculos de  emergencia y la  cruzrojamexicana acuden a  invierno    angel  zimbron   azcapotzalco a auxiliar por un  accidente de  transito ,7/13/2022,2:59:02,0,0,0,0,0,0,1,azcapotzalco,Si
1547156652767559682,2022-07-13 04:51:05-05:00,C5_CDMX,servicios de emergencia trabajan por motociclista accidentado sobre eje  2 poniente  florencia  y avenida chapultepec  colonia juarez   alccuauhtemocmx  911cdmx   c5,7/13/2022,4:59:02,0,0,0,0,1,0,1,cuauhtemoc,Si
1547174130155388931,2022-07-13 06:00:32-05:00,OVIALCDMX,06 00  precaucionvial movilizacion de servicios de emergencia por percance de motociclista en fray servando teresa de mier a la altura de topacio  ,7/13/2022,6:59:03,0,0,0,0,1,0,1,,Si
1547175332276469762,2022-07-13 06:05:18-05:00,trafico889,se registro un  percance en fray servando teresa de mier a la altura de topacio ,7/13/2022,6:59:03,0,0,0,0,0,0,1,,Si
1547177930933018624,2022-07-13 06:15:38-05:00,trafico889,gracias a nuestro wazer  anonimo  reporta un choque en insurgentes  pasando av  acueducto de guadalupe  hacia la raza ,7/13/2022,6:59:03,0,0,0,0,0,0,1,,Si
1547180534362771457,2022-07-13 06:25:59-05:00,trafico889,se registra percance vial sobre  blvd  puerto aereo a la altura del eje 1 norte en direccion a zaragoza ,7/13/2022,6:59:03,0,0,0,0,0,0,1,,Si
1547182986847723525,2022-07-13 06:35:43-05:00,trafico889,encontraras un  choque sobre canal de miramontes a la altura de calz  de las brujas en direccion a calz  de las bombas ,7/13/2022,6:59:03,0,0,0,0,0,0,1,,Si
